project_id,project_name,project_type_name,dept_name,dept_sub_name,purchase_method_name,purchase_method_group_name,announce_date,project_money,price_build,sum_price_agree,budget_year,transaction_date,province,district,subdistrict,project_status,project_location,winner_tin,winner_name,contract_no,contract_date,contract_finish_date,contract_price_agree,contract_status,source_file,budget_level
66059125462,ประกวดราคาซื้อเครื่องตรวจหัวใจด้วยคลื่นเสียงความถี่สูงชนิดความคมชัดสูงแบบเคลื่อนที่ จำนวน ๑ เครื่อง ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),ซื้อ,โรงพยาบาลลำพูน,โรงพยาบาลลำพูน,ประกวดราคาอิเล็กทรอนิกส์ (e-bidding),วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,15 พ.ค. 66,"2,000,000.00","2,000,000.00","1,999,200.00",2566,23 มิ.ย. 66,ลำพูน,เมืองลำพูน,เวียงยอง,ระหว่างดำเนินการ,,0105556093287,บริษัท ไอดีเอส เมดิคอล ซิสเต็มส์ (ประเทศไทย)  จำกัด,42/2566,23 มิ.ย. 66,21 ก.ย. 66,1999200.00,ระหว่างดำเนินการ,govspending_lamphun_2566_budget2_part_01.xls,2
65117049238,ประกวดราคาจ้างก่อสร้างถนนลาดยางผิวจราจรแอสฟัลต์คอนกรีต ถนนสายไปกู่อรหันต์ - อ่างเก็บนํ้าห้วยน้ำดิบ หมู่ที่ 14 ตำบลป่าสัก เชื่อมบ้านหนองหล่ม  หมู่ที่ 8 ตำบลศรีบัวบาน อำเภอเมืองลำพูน จังหวัดลำพูน ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),จ้างก่อสร้าง,องค์การบริหารส่วนจังหวัดลำพูน,องค์การบริหารส่วนจังหวัดลำพูน,ประกวดราคาอิเล็กทรอนิกส์ (e-bidding),วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,21 ธ.ค. 65,"2,664,000.00","3,258,185.46","1,999,000.00",2566,8 ก.พ. 66,ลำพูน,เมืองลำพูน,ป่าสัก,ระหว่างดำเนินการ,POINT(99.03998851776123 18.52126297920758),0523546000132,ห้างหุ้นส่วนจำกัด ตั้นอ้าย วิศวกรรม,40/2566,8 ก.พ. 66,9 พ.ค. 66,1999000.00,ระหว่างดำเนินการ,govspending_lamphun_2566_budget2_part_01.xls,2
65117512927,"ประกวดราคาซื้อจัดซื้อรถบรรทุกน้ำ (ดีเซล) ขนาด ๖ ตัน ๖ ล้อ ปริมาตรกระบอกสูบไม่ต่ำกว่า ๖,๐๐๐ ซีซี จำนวน ๑ คัน ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding)",ซื้อ,เทศบาลตำบลหนองช้างคืน,เทศบาลตำบลหนองช้างคืน,ประกวดราคาอิเล็กทรอนิกส์ (e-bidding),วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,29 ธ.ค. 65,"2,500,000.00","2,563,000.00","1,999,000.00",2566,24 ก.พ. 66,ลำพูน,เมืองลำพูน,หนองช้างคืน,ระหว่างดำเนินการ,,0135556005060,บริษัท ทรัพย์เพิ่ม ออโต้ โมทีฟ จำกัด,1/2566,24 ก.พ. 66,24 มิ.ย. 66,1999000.00,ระหว่างดำเนินการ,govspending_lamphun_2566_budget2_part_01.xls,2
65087656444,"ประกวดราคาจ้างก่อสร้างถนนคอนกรีตเสริมเหล็ก รหัสทางหลวงท้องถิ่น ลพ.ถ40003 สายแยกทางหลวง1184-บ้านห้วยเหี๊ยะ หมู่ที่ 3 บ้านห้วยเฮียะ ตำบลทาแม่ลอบ กว้าง 4 เมตร ยาว 1,080 เมตร หนา 0.15 เมตร หรือมีพื้นที่ไม่น้อยกว่า 4,320 ตารางเมตร องค์การบริหารส่วนตำบลทาแม่ลอบ อำเภอแม่ทา จังหวัดลำพูน ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding)",จ้างก่อสร้าง,องค์การบริหารส่วนตำบลทาแม่ลอบ,องค์การบริหารส่วนตำบลทาแม่ลอบ,ประกวดราคาอิเล็กทรอนิกส์ (e-bidding),วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,26 ก.ย. 65,"2,617,800.00","2,742,861.39","1,999,000.00",2566,23 ธ.ค. 65,ลำพูน,แม่ทา,ทาแม่ลอบ,ระหว่างดำเนินการ,POINT(98.97855544673803 18.24877311126862),0513555000468,ห้างหุ้นส่วนจำกัด เอเคอี รีไซคลิ่ง,4/2566,23 ธ.ค. 65,23 มี.ค. 66,1999000.00,ระหว่างดำเนินการ,govspending_lamphun_2566_budget2_part_01.xls,2
65097498128,ประกวดราคาซื้อครุภัณฑ์ชุดปฏิบัติการห้องสมุดทันสมัย ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),ซื้อ,วิทยาลัยการอาชีพป่าซาง,วิทยาลัยการอาชีพป่าซาง,ประกวดราคาอิเล็กทรอนิกส์ (e-bidding),วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,7 ต.ค. 65,"2,000,000.00","2,000,000.00","1,998,800.00",2566,11 พ.ย. 65,ลำพูน,ป่าซาง,นครเจดีย์,ระหว่างดำเนินการ,,0125553019345,บริษัท ดี ดี ที อินเตอร์เนชั่นแนล จำกัด,1/2566,11 พ.ย. 65,9 ก.พ. 66,1998800.00,ระหว่างดำเนินการ,govspending_lamphun_2566_budget2_part_01.xls,2
65107013135,ประกวดราคาจ้างก่อสร้างโครงการเสริมผิวถนนแอสฟัลท์ติกคอนกรีต รหัสทางหลวงท้องถิ่น ลพ.ถ.๕๘๐๓๗  หมู่ที่ ๕ บ้านเหล่ามะเหยือง เชื่อมหมู่ที่ ๖ บ้านดงมะเฟือง  ตำบลเหล่ายาว อำเภอบ้านโฮ่ง จังหวัดลำพูน ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),จ้างก่อสร้าง,องค์การบริหารส่วนตำบลเหล่ายาว,องค์การบริหารส่วนตำบลเหล่ายาว,ประกวดราคาอิเล็กทรอนิกส์ (e-bidding),วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,6 ต.ค. 65,"3,189,800.00","3,591,031.66","1,997,000.00",2566,9 ธ.ค. 65,ลำพูน,บ้านโฮ่ง,เหล่ายาว,ระหว่างดำเนินการ,POINT(98.77096831798553 18.359464223101874),0523546000132,ห้างหุ้นส่วนจำกัด ตั้นอ้าย วิศวกรรม,สญ.จ.11/2566,9 ธ.ค. 65,23 ม.ค. 66,1997000.00,ระหว่างดำเนินการ,govspending_lamphun_2566_budget2_part_01.xls,2
65107254414,"ประกวดราคาจ้างก่อสร้างโครงการก่อสร้างถนนแอสฟัลท์ติกคอนกรีต รหัสสายทาง ลพ.ถ.10603 สายทางบ้านสันวิไล เชื่อม บ้านสว่างวงศ์พัฒนา หมู่ที่ 9 บ้านสันวิไล ตำบลแม่ตืน กว้าง 5.00 เมตร  ยาว 1,140.00 เมตร หนาผิวจราจร 0.05 เมตร  หรือมีพื้นที่ไม่น้อยกว่า 5,700.00 ตารางเมตร  องค์การบริหารส่วนตำบลเวียงแก้ว  อำเภอลี้  จังหวัดลำพูน ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding)",จ้างก่อสร้าง,องค์การบริหารส่วนตำบลเวียงแก้ว,องค์การบริหารส่วนตำบลเวียงแก้ว,ประกวดราคาอิเล็กทรอนิกส์ (e-bidding),วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,14 พ.ย. 65,"2,955,000.00","3,402,403.24","1,997,000.00",2566,16 ธ.ค. 65,ลำพูน,ลี้,แม่ตืน,ระหว่างดำเนินการ,POINT(98.91261577606201 17.96454763239341),0523546000132,ห้างหุ้นส่วนจำกัด ตั้นอ้าย วิศวกรรม,001/2566,16 ธ.ค. 65,14 ก.พ. 66,1997000.00,ระหว่างดำเนินการ,govspending_lamphun_2566_budget2_part_01.xls,2
65097126689,ซื้อไม้แปรรูปชนิดไม้เนื้ออ่อน จำนวน 2 รายการ เลขที่ คป.ลพ.94/2566 โดยวิธีเฉพาะเจาะจง,ซื้อ,กรมชลประทาน,โครงการชลประทาน (ชคป.) ลำพูน กรมชลประทาน,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,"1,990,401.57","1,990,401.57","1,990,401.57",2566,19 ต.ค. 65,ลำพูน,เมืองลำพูน,ศรีบัวบาน,สิ้นสุดสัญญา,,0994000165269,องค์การอุตสาหกรรมป่าไม้,กษ.0310.07/477/2565,19 ต.ค. 65,16 ก.พ. 66,1990401.57,สิ้นสุดสัญญา,govspending_lamphun_2566_budget2_part_01.xls,2
65107315060,ซื้ออาหารเสริม (นม) ให้กับศูนย์พัฒนาเด็กเล็กและเด็กนักเรียนโรงเรียนสังกัดสำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน (สพฐ.)  ในเขตพื้นที่ตำบลนาทราย ประจำปีงบประมาณ 2566 โดยวิธีเฉพาะเจาะจง,ซื้อ,องค์การบริหารส่วนตำบลนาทราย,องค์การบริหารส่วนตำบลนาทราย,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,"1,930,579.20","1,930,579.20","1,989,995.04",2566,27 ต.ค. 65,ลำพูน,เมืองลำพูน,ในเมือง,ระหว่างดำเนินการ,,0505535000707,บริษัท เชียงใหม่เฟรชมิลค์ จำกัด,1/2566,27 ต.ค. 65,22 มี.ค. 66,1989995.04,ระหว่างดำเนินการ,govspending_lamphun_2566_budget2_part_01.xls,2
65117238189,ประกวดราคาจ้างก่อสร้างงานปรับปรุงอาคารสำนักงานและอาคารบ้านพักอาศัยรวมสำนักงานธนารักษ์พื้นที่ลำพูน ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),จ้างก่อสร้าง,กรมธนารักษ์,สำนักงานธนารักษ์พื้นที่ลำพูน,ประกวดราคาอิเล็กทรอนิกส์ (e-bidding),วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,18 พ.ย. 65,"2,420,000.00","2,390,000.00","1,988,000.00",2566,27 ธ.ค. 65,ลำพูน,เมืองลำพูน,ในเมือง,ระหว่างดำเนินการ,POINT(99.01288886850001 18.5838953716),0513558000043,ห้างหุ้นส่วนจำกัด คชภัค เอ็นจิเนียริ่ง,1/2566,27 ธ.ค. 65,26 เม.ย. 66,1988000.00,ระหว่างดำเนินการ,govspending_lamphun_2566_budget2_part_01.xls,2
