project_id,project_name,project_type_name,dept_name,dept_sub_name,purchase_method_name,purchase_method_group_name,announce_date,project_money,price_build,sum_price_agree,budget_year,transaction_date,province,district,subdistrict,project_status,project_location,winner_tin,winner_name,contract_no,contract_date,contract_finish_date,contract_price_agree,contract_status,source_file,budget_level
67129112680,ประกวดราคาจ้างโครงการส่งเสริมกระบวนการพัฒนาผ้าลำพูน กิจกรรมพัฒนาแหล่งเรียนรู้ต้นแบบการผลิตผ้าพื้นถิ่นลำพูน สู่ ทุ่งหัวช้างโมเดล ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),จ้างทำของ/จ้างเหมาบริการ,กรมการพัฒนาชุมชน,สำนักงานพัฒนาชุมชนจังหวัดลำพูน,ประกวดราคาอิเล็กทรอนิกส์ (e-bidding),วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,13 ก.พ. 68,"2,000,000.00","2,123,333.33","1,999,400.00",2568,27 ก.พ. 68,ลำพูน,เมืองลำพูน,ศรีบัวบาน,ระหว่างดำเนินการ,,0525564000451,บริษัท เลมมีแอด จำกัด,7/2568,27 ก.พ. 68,26 ส.ค. 68,1999400.00,ระหว่างดำเนินการ,govspending_lamphun_2568_budget2_part_01.xls,2
68039378177,ประกวดราคาจ้างก่อสร้างโครงการก่อสร้างเมรุไร้มลพิษ สุสานบ้านหนองผำ หมู่ที่ ๔ ตำบลปากบ่อง (ตามแบบแปลนเทศบาลตำบลป่าซาง) ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),จ้างก่อสร้าง,เทศบาลตำบลป่าซาง,เทศบาลตำบลป่าซาง,ประกวดราคาอิเล็กทรอนิกส์ (e-bidding),วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,11 เม.ย. 68,"2,500,000.00","2,151,003.73","1,998,000.00",2568,15 พ.ค. 68,ลำพูน,ป่าซาง,ป่าซาง,ระหว่างดำเนินการ,POINT(98.9242202696566 18.5311509809014),0703553001261,ห้างหุ้นส่วนจำกัด อิศวภา เอ็นจิเนีย,14/2568,15 พ.ค. 68,11 พ.ย. 68,1998000.00,ระหว่างดำเนินการ,govspending_lamphun_2568_budget2_part_01.xls,2
68089609715,ประกวดราคาจ้างโครงการส่งเสริมและพัฒนา Soft Power เพื่อเป็นต้นทุนพัฒนาต่อยอดการท่องเที่ยวมูลค่าสูง กิจกรรมหลักที่ 4 FESTIVAL FAITH กิจกรรมย่อยที่ 2 พัฒนาเส้นทางแสวงบุญครูบาศรีวิชัยนักบุญแห่งล้านนา  ตามแผนปฏิบัติราชการกลุ่มจังหวัดภาคเหนือตอนบน 1 (จังหวัดเชียงใหม่ ลำพูน ลำปาง และแม่ฮ่องสอน) ประจำปีงบประมาณ พ.ศ. 2568 ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),จ้างทำของ/จ้างเหมาบริการ,สำนักงานปลัดกระทรวงวัฒนธรรม,สำนักงานวัฒนธรรมจังหวัดลำพูน,ประกวดราคาอิเล็กทรอนิกส์ (e-bidding),วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,27 ส.ค. 68,"2,000,000.00","2,000,000.00","1,997,000.00",2568,16 ก.ย. 68,ลำพูน,เมืองลำพูน,เวียงยอง,ระหว่างดำเนินการ,,0505561013497,บริษัท เอ็ม ดี ดี กรุ๊ป จำกัด,8/2568,16 ก.ย. 68,14 ม.ค. 69,1997000.00,ระหว่างดำเนินการ,govspending_lamphun_2568_budget2_part_01.xls,2
67109094146,ประกวดราคาจ้างเหมาจัดเก็บขยะมูลฝอยตำบลแม่แรง ประจำเดือน พฤศจิกายน ๒๕๖๗ ถึงเดือน กันยายน ๒๕๖๘ ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),จ้างทำของ/จ้างเหมาบริการ,เทศบาลตำบลแม่แรง,เทศบาลตำบลแม่แรง,ประกวดราคาอิเล็กทรอนิกส์ (e-bidding),วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,7 ต.ค. 67,"1,998,654.50","1,998,654.50","1,996,500.00",2568,31 ต.ค. 67,ลำพูน,ป่าซาง,แม่แรง,ระหว่างดำเนินการ,,0125562022001,บริษัท สแควร์ เทเบิ้ล โปรดักชั่น จำกัด,2/2568,31 ต.ค. 67,30 ก.ย. 68,1996500.00,ระหว่างดำเนินการ,govspending_lamphun_2568_budget2_part_01.xls,2
68089134840,ประกวดราคาจ้างโครงการลำพูนเมืองวัฒนธรรมสร้างสรรค์สู่เศรษฐกิจสรรสร้าง กิจกรรมตลาดวัฒนธรรม ถนนสายวัฒนธรรม จังหวัดลพูน ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),จ้างทำของ/จ้างเหมาบริการ,สำนักงานปลัดกระทรวงวัฒนธรรม,สำนักงานวัฒนธรรมจังหวัดลำพูน,ประกวดราคาอิเล็กทรอนิกส์ (e-bidding),วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,13 ส.ค. 68,"2,000,000.00","2,000,000.00","1,995,300.00",2568,2 ก.ย. 68,ลำพูน,เมืองลำพูน,เวียงยอง,ระหว่างดำเนินการ,,0505563004215,บริษัท ทำดู วิชั่น อาร์ต จำกัด,5/2568,2 ก.ย. 68,28 ก.พ. 69,1995300.00,ระหว่างดำเนินการ,govspending_lamphun_2568_budget2_part_01.xls,2
67109353342,ประกวดราคาซื้อเครื่องตรวจวัดลานสายตาอัตโนมัติ จำนวน ๑ เครื่อง ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),ซื้อ,โรงพยาบาลลำพูน,โรงพยาบาลลำพูน,ประกวดราคาอิเล็กทรอนิกส์ (e-bidding),วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,4 พ.ย. 67,"2,000,000.00","2,000,000.00","1,995,000.00",2568,20 ม.ค. 68,ลำพูน,เมืองลำพูน,เวียงยอง,ระหว่างดำเนินการ,,0105534041411,บริษัท คาร์ล ไซส์ส จำกัด,17/2568,20 ม.ค. 68,20 พ.ค. 68,1995000.00,ระหว่างดำเนินการ,govspending_lamphun_2568_budget2_part_01.xls,2
67089694308,ประกวดราคาจ้างเหมาบริการดูแล บำรุงรักษาสนามหญ้า สวนหย่อม ตัดแต่งต้นไม้ ดูแลภูมิทัศน์ เก็บขยะมูลฝอย หรือสิ่งปฏิกูลโดยรอบอาคาร รวมทั้งอาคาร สถานที่ สิ่งปลูกสร้างอื่นๆ ที่เป็นทรัพย์สินขององค์การบริหารส่วนจังหวัดลำพูน จำนวน ๑๑ คน ประจำปีงบประมาณ พ.ศ. ๒๕๖๘ ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),จ้างทำของ/จ้างเหมาบริการ,องค์การบริหารส่วนจังหวัดลำพูน,องค์การบริหารส่วนจังหวัดลำพูน,ประกวดราคาอิเล็กทรอนิกส์ (e-bidding),วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,2 ก.ย. 67,"2,350,000.00","2,300,000.00","1,992,000.00",2568,1 ต.ค. 67,ลำพูน,เมืองลำพูน,ป่าสัก,ระหว่างดำเนินการ,,0403557003104,ห้างหุ้นส่วนจำกัด พี.ดี.คลีน แอนด์ เซอร์วิส,4/2568,1 ต.ค. 67,30 ก.ย. 68,1992000.00,ระหว่างดำเนินการ,govspending_lamphun_2568_budget2_part_01.xls,2
67089514919,ประกวดราคาจ้างก่อสร้างโครงการก่อสร้างถนนลาดยางแอสฟัลต์คอนกรีต สายทางบ้านสันวิไล หมู่ที่ 9 ตำบลแม่ตืน เชื่อมทางหลวงชนบท ลพ. 4022 ตำบลป่าไผ่ อำเภอลี้ จังหวัดลำพูน ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),จ้างก่อสร้าง,องค์การบริหารส่วนจังหวัดลำพูน,องค์การบริหารส่วนจังหวัดลำพูน,ประกวดราคาอิเล็กทรอนิกส์ (e-bidding),วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,19 ธ.ค. 67,"2,489,000.00","2,848,360.70","1,990,000.00",2568,12 มี.ค. 68,ลำพูน,เมืองลำพูน,ป่าสัก,ระหว่างดำเนินการ,POINT(98.93754959106445 17.938847613243865),0523547001787,ห้างหุ้นส่วนจำกัด รุ่งโพธิ์ สลิตา,75/2568,12 มี.ค. 68,10 มิ.ย. 68,1990000.00,ระหว่างดำเนินการ,govspending_lamphun_2568_budget2_part_01.xls,2
68019101078,ประกวดราคาจ้างก่อสร้างงานปรับปรุงเส้นท่อที่ ถนนเจริญตา ตั้งแต่ สามแยกตลาดสุขใจ ถึง สามแยกสถานีรถไฟลำพูน และบริเวณชุมชนหนองเส้ง ตำบลในเมือง อำเภอเมืองลำพูน จังหวัดลำพูน การประปาส่วนภูมิภาคสาขาลำพูน ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),จ้างก่อสร้าง,การประปาส่วนภูมิภาค,การประปาส่วนภูมิภาคสาขาลำพูน,ประกวดราคาอิเล็กทรอนิกส์ (e-bidding),วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,10 ม.ค. 68,"2,207,410.00","2,207,410.00","1,986,660.00",2568,3 ก.พ. 68,ลำพูน,เมืองลำพูน,ในเมือง,ระหว่างดำเนินการ,,0503553002277,ห้างหุ้นส่วนจำกัด หนึ่งกิจนที,กปภ.ข.9-ลพ./4/2568,3 ก.พ. 68,3 มิ.ย. 68,1986660.00,ระหว่างดำเนินการ,govspending_lamphun_2568_budget2_part_01.xls,2
67119364068,"ประกวดราคาจ้างก่อสร้างโครงการก่อสร้างถนนคอนกรีตเสริมเหล็ก รหัสทางหลวงท้องถิ่น ลพ.ถ.๘๐๐๑๐ สายบ่อขยะ - บ้านล็อก หมู่ที่ ๖ บ้านเหมืองลึก หมู่ที่ ๒ ขนาดกว้าง ๔.๐๐ เมตร ยาว ๑,๐๕๐.๐๐ เมตร หนา ๐.๑๕ เมตร หรือมีพื้นที่ไม่น้อยกว่า ๔,๒๐๐ ตารางเมตร ไหล่ทางด้านละ ๐.๕๐ เมตร หรือตามสภาพพื้นที่ ตำบลทาทุ่งหลวง อำเภอแม่ทา จังหวัดลำพูน ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding)",จ้างก่อสร้าง,เทศบาลตำบลทาทุ่งหลวง,เทศบาลตำบลทาทุ่งหลวง,ประกวดราคาอิเล็กทรอนิกส์ (e-bidding),วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,24 ธ.ค. 67,"2,530,000.00","2,464,233.56","1,985,000.00",2568,8 พ.ค. 68,ลำพูน,แม่ทา,ทาทุ่งหลวง,ระหว่างดำเนินการ,"LINESTRING(99.03184776747811 18.4377206711838,99.03184776747811 18.4377206711838)",0513564001196,ห้างหุ้นส่วนจำกัด ภานนท์ การก่อสร้าง,24/2568,8 พ.ค. 68,5 ก.ย. 68,1985000.00,ระหว่างดำเนินการ,govspending_lamphun_2568_budget2_part_01.xls,2
