project_id,project_name,project_type_name,dept_name,dept_sub_name,purchase_method_name,purchase_method_group_name,announce_date,project_money,price_build,sum_price_agree,budget_year,transaction_date,province,district,subdistrict,project_status,project_location,winner_tin,winner_name,contract_no,contract_date,contract_finish_date,contract_price_agree,contract_status,source_file,budget_level
67089087088,"ประกวดราคาซื้อครุภัณฑ์ยานพาหนะและขนส่ง รายการ รถพยาบาลฉุกเฉิน ปริมาตรกระบอกสูบไม่ต่ำกว่า 2,700 ซีซี ขับเคลื่อน 4 ล้อ พร้อมอุปกรณ์การแพทย์ชั้นสูง จำนวน 1 คัน สำหรับโรงพยาบาลปาย ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding)",ซื้อ,สำนักงานปลัดกระทรวงสาธารณสุข,สำนักงานสาธารณสุขจังหวัดแม่ฮ่องสอน,ประกวดราคาอิเล็กทรอนิกส์ (e-bidding),วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,7 ส.ค. 67,"2,000,000.00","2,000,000.00","1,998,000.00",2567,16 ก.ย. 67,แม่ฮ่องสอน,เมืองแม่ฮ่องสอน,จองคำ,ระหว่างดำเนินการ,,0105556185408,บริษัท ไทย ออโต้ ฟลีท จำกัด,13/2567,16 ก.ย. 67,15 มี.ค. 68,1998000.00,ระหว่างดำเนินการ,govspending_maehongson_2567_budget2_part_01.xls,2
67039548387,ประกวดราคาซื้อครุภัณฑ์การแพทย์เครื่องสลายนิ่วภายในระบบทางเดินปัสสาวะด้วยคลื่นความถี่สูงและการกระแทก พร้อมระบบดูดเศษนิ่ว โรงพยาบาลศรีสังวาลย์ ตำบลจองคำ อำเภอเมืองแม่ฮ่องสอน จังหวัดแม่ฮ่องสอน ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),ซื้อ,โรงพยาบาลศรีสังวาลย์,โรงพยาบาลศรีสังวาลย์,ประกวดราคาอิเล็กทรอนิกส์ (e-bidding),วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,29 มี.ค. 67,"2,000,000.00","2,000,000.00","1,995,000.00",2567,17 มิ.ย. 67,แม่ฮ่องสอน,เมืองแม่ฮ่องสอน,จองคำ,ระหว่างดำเนินการ,,0105558143818,บริษัท บีเจเอช เมดิคอล จำกัด,27/2567,17 มิ.ย. 67,15 ต.ค. 67,1995000.00,ระหว่างดำเนินการ,govspending_maehongson_2567_budget2_part_01.xls,2
67069326318,ประกวดราคาซื้อวัสดุการเกษตร โครงการระดมสำรวจขึ้นทะเบียนโค กระบือ ในพื้นที่อำเภอชายแดนสาธารณรัฐแห่งสหภาพเมียนมา ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),ซื้อ,กรมปศุสัตว์,สำนักงานปศุสัตว์จังหวัดแม่ฮ่องสอน,ประกวดราคาอิเล็กทรอนิกส์ (e-bidding),วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,26 มิ.ย. 67,"2,219,208.00","2,219,208.00","1,985,737.67",2567,6 ส.ค. 67,แม่ฮ่องสอน,เมืองแม่ฮ่องสอน,จองคำ,ระหว่างดำเนินการ,,0105536070419,บริษัท อรธนา อินเตอร์เทรด จำกัด,01/2567,6 ส.ค. 67,5 ก.ย. 67,1985737.67,ระหว่างดำเนินการ,govspending_maehongson_2567_budget2_part_01.xls,2
67039297464,ซื้อหนังสือเรียน โดยวิธีคัดเลือก,ซื้อ,โรงเรียนบ้านไร่วิทยา,โรงเรียนบ้านไร่วิทยา,คัดเลือก,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,"2,208,780.00","2,208,780.00","1,969,000.00",2567,26 มี.ค. 67,แม่ฮ่องสอน,แม่สะเรียง,แม่สะเรียง,ระหว่างดำเนินการ,,0615566000261,บริษัท เอ็มวาย ซัพพลาย (88) จำกัด,2/2567,26 มี.ค. 67,25 เม.ย. 67,1969000.00,ระหว่างดำเนินการ,govspending_maehongson_2567_budget2_part_01.xls,2
66109379398,ซื้ออาหารเสริม(นม) โดยวิธีเฉพาะเจาะจง,ซื้อ,เทศบาลเมืองแม่ฮ่องสอน,เทศบาลเมืองแม่ฮ่องสอน,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,"1,957,834.08",8.13,"1,957,834.08",2567,10 พ.ย. 66,แม่ฮ่องสอน,เมืองแม่ฮ่องสอน,จองคำ,ระหว่างดำเนินการ,,0505535000707,บริษัท เชียงใหม่เฟรชมิลค์ จำกัด,001/2567,10 พ.ย. 66,8 ก.ค. 67,1957834.08,ระหว่างดำเนินการ,govspending_maehongson_2567_budget2_part_01.xls,2
67079299944,ประกวดราคาจ้างก่อสร้างก่อสร้างสถานีสูบน้ำและระบบกระจายน้ำ บ้านเมืองแปง หมู่ที่ 1 ตำบลเมืองแปง อำเภอปาย จังหวัดแม่ฮ่องสอน ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),จ้างก่อสร้าง,สำนักงานการปฎิรูปที่ดินเพื่อเกษตรกรรม,สำนักงานการปฏิรูปที่ดินจังหวัด แม่ฮ่องสอน,ประกวดราคาอิเล็กทรอนิกส์ (e-bidding),วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,12 ก.ค. 67,"1,975,000.00","1,944,191.32","1,918,850.00",2567,1 ส.ค. 67,แม่ฮ่องสอน,ปาย,เมืองแปง,ระหว่างดำเนินการ,POINT(98.34197044372559 19.224935002465042),0505563003863,บริษัท ออโรร่า เอ็นจิเนียริ่ง เซอร์วิส จำกัด,01/2567,1 ส.ค. 67,30 ต.ค. 67,1918850.00,ระหว่างดำเนินการ,govspending_maehongson_2567_budget2_part_01.xls,2
66099277880,"ประกวดราคาจ้างก่อสร้างโครงการปรับปรุงถนนแอสฟัลต์ติกคอนกรีต เพื่อการส่งต่อผู้ป่วยฉุกเฉินวิกฤต ขนาดกว้างเฉลี่ย ๔.๐๐ - ๖.๐๐ เมตร ยาวไม่น้อยกว่า ๓๒๔ เมตร หนา ๐.๐๔ เมตร หรือมีพื้นที่ไม่น้อยกว่า ๑,๗๗๘ ตารางเมตร ตามแบบแปลนองค์การบริหารส่วนจังหวัดแม่ฮ่องสอน ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding)",จ้างก่อสร้าง,องค์การบริหารส่วนจังหวัดแม่ฮ่องสอน,องค์การบริหารส่วนจังหวัดแม่ฮ่องสอน,ประกวดราคาอิเล็กทรอนิกส์ (e-bidding),วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,4 ต.ค. 66,"2,070,000.00","2,049,802.27","1,897,000.00",2567,2 เม.ย. 67,แม่ฮ่องสอน,เมืองแม่ฮ่องสอน,ผาบ่อง,ระหว่างดำเนินการ,POINT(97.96499133110046 19.259719532813435),0505541000349,บริษัท บลูแลนด์ เอ็นจิเนียริ่ง จำกัด,14/2567,2 เม.ย. 67,31 ก.ค. 67,1897000.00,ระหว่างดำเนินการ,govspending_maehongson_2567_budget2_part_01.xls,2
67049305020,ประกวดราคาจ้างก่อสร้างกิจกรรมอำนวยความปลอดภัยทางถนน ประจำปีงบประมาณ พ.ศ. ๒๕๖๗ งานอำนวยความปลอดภัยเพื่อป้องกันและแก้ไขอุบัติเหตุทางถนน งานป้ายข้างทาง บนทางหลวงหมายเลข ๑๐๘ ตอน ห้วยงู - หนองแห้ง ตอน ๓ ระหว่าง กม.๒๔๑+๐๐๐ - กม.๒๕๘+๑๐๐ (เป็นช่วงๆ) ปริมาณงาน ๑ แห่ง (๒๐๙.๗๐ SQ.M.) จำนวน ๒ รายการ ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),จ้างก่อสร้าง,กรมทางหลวง,แขวงทางหลวงแม่ฮ่องสอน,ประกวดราคาอิเล็กทรอนิกส์ (e-bidding),วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,23 เม.ย. 67,"1,900,000.00","1,898,332.55","1,891,494.00",2567,20 พ.ค. 67,แม่ฮ่องสอน,แม่ลาน้อย,แม่ลาหลวง,ระหว่างดำเนินการ,"LINESTRING(97.88348781665978 18.56324772232447,97.86426174244103 18.52954116336373)",0103525017978,ห้างหุ้นส่วนจำกัด ศรีตรา,มส.28/2567,20 พ.ค. 67,19 ก.ค. 67,1891494.00,ระหว่างดำเนินการ,govspending_maehongson_2567_budget2_part_01.xls,2
67049064304,"ประกวดราคาจ้างก่อสร้างโครงการปรับปรุงถนนลูกรังเป็นถนนคอนกรีตเสริมเหล็ก สายหลักเมืองแปงห้วยฮะ ช่วงห้วยปลากั้ง ขนาดกว้าง 5 เมตร หนา 0.15 เมตร ยาว 0.720 กิโลเมตร มีพื้นที่ไม่น้อยกว่า 3,600 ตร.ม. ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding)",จ้างก่อสร้าง,องค์การบริหารส่วนตำบลเมืองแปง,องค์การบริหารส่วนตำบลเมืองแปง,ประกวดราคาอิเล็กทรอนิกส์ (e-bidding),วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,25 เม.ย. 67,"2,714,000.00","3,012,876.60","1,880,000.00",2567,27 พ.ค. 67,แม่ฮ่องสอน,ปาย,เมืองแปง,ระหว่างดำเนินการ,POINT(98.32475066184998 19.223202673940506),0583551000081,ห้างหุ้นส่วนจำกัด กอล์ฟ กรุ๊ป,4/2567,27 พ.ค. 67,24 ก.ย. 67,1880000.00,ระหว่างดำเนินการ,govspending_maehongson_2567_budget2_part_01.xls,2
67019573769,ประกวดราคาจ้างก่อสร้างโครงการปรับปรุงจุดเสี่ยงจุดอันตราย ถนนสาย มส.4009 แยกทางหลวงหมายเลข 1263 - บ้านแม่จ๋า อำเภอขุนยวม อำเภอเมือง จังหวัดแม่ฮ่องสอน จำนวน 1 แห่ง ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),จ้างก่อสร้าง,กรมทางหลวงชนบท,แขวงทางหลวงชนบทแม่ฮ่องสอน,ประกวดราคาอิเล็กทรอนิกส์ (e-bidding),วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,14 ก.พ. 67,"2,500,000.00","2,543,478.49","1,875,000.00",2567,21 มี.ค. 67,แม่ฮ่องสอน,ขุนยวม,แม่อูคอ,ระหว่างดำเนินการ,POINT(98.04661324583151 18.8838584194118),0203549004981,ห้างหุ้นส่วนจำกัด เอส.เค.เอ็ม ทราฟฟิค,ขทช.มส./3/2567,21 มี.ค. 67,4 มิ.ย. 67,1875000.00,ระหว่างดำเนินการ,govspending_maehongson_2567_budget2_part_01.xls,2
